정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
BSB217030101,국립부산과학관,35.20291913,129.21344833,2024-10-28,,21,부산광역시,부산BIS
BSB217040101,광어골,35.17425707,129.19653219,2024-10-28,9361.0,21,부산광역시,부산BIS
BSB217060101,조광요턴,35.14202705,128.82491666,2024-10-28,12460.0,21,부산광역시,부산BIS
BSB510980000,수영만아이파크,35.16230025,129.12994499,2024-10-28,,21,부산광역시,부산BIS
BSB510990000,수영만아이파크,35.16260151,129.12998028,2024-10-28,,21,부산광역시,부산BIS
BSB511000000,수영성당,35.17504708,129.11902524,2024-10-28,,21,부산광역시,부산BIS
BSB511010000,수영현대아파트,35.16936775,129.12274632,2024-10-28,,21,부산광역시,부산BIS
BSB511020000,수영협성르네상스타운,35.17254045,129.12116612,2024-10-28,,21,부산광역시,부산BIS
BSB511030000,신세계센텀시티,35.16771798,129.12996834,2024-10-28,,21,부산광역시,부산BIS
BSB511040000,신세계센텀시티,35.16892021,129.13129468,2024-10-28,,21,부산광역시,부산BIS
BSB511050000,오션테라스3단지,35.15533602,129.12895416,2024-10-28,,21,부산광역시,부산BIS
BSB511060000,오션테라스4단지,35.15555546,129.12979928,2024-10-28,,21,부산광역시,부산BIS
BSB511070000,운수사입구,35.1859203,129.00359559,2024-10-28,,21,부산광역시,부산BIS
BSB511080000,진로비치2단지,35.15623896,129.12808342,2024-10-28,,21,부산광역시,부산BIS
BSB511090000,동삼동시장,35.07868814,129.07027683,2024-10-28,,21,부산광역시,부산BIS
BSB511100000,삼선병원,35.15051648,129.0062415,2024-10-28,,21,부산광역시,부산BIS
BSB511110000,감천문화마을,35.08780625,129.00446218,2024-10-28,,21,부산광역시,부산BIS
BSB511120000,국립해양박물관,35.07794695,129.0791239,2024-10-28,,21,부산광역시,부산BIS
BSB511130000,국제시장,35.10294031,129.02648463,2024-10-28,,21,부산광역시,부산BIS
BSB511140000,낙동강하구 에코센타,35.10796004,128.94592292,2024-10-28,,21,부산광역시,부산BIS
BSB511150000,다대포해수욕장,35.04837704,128.96579526,2024-10-28,,21,부산광역시,부산BIS
BSB511160000,미포.문탠로드입구,35.16141435,129.17258331,2024-10-28,,21,부산광역시,부산BIS
BSB511170000,부네치아 장림항,35.07913371,128.95135516,2024-10-28,,21,부산광역시,부산BIS
BSB511180000,부산현대미술관,35.10874723,128.94235553,2024-10-28,,21,부산광역시,부산BIS
BSB511190000,석당박물관,35.10482984,129.01991344,2024-10-28,,21,부산광역시,부산BIS
BSB511200000,송도해수욕장,35.07658895,129.02222331,2024-10-28,,21,부산광역시,부산BIS
BSB511210000,송도해수욕장,35.07673775,129.02248734,2024-10-28,,21,부산광역시,부산BIS
